essay_id;essay_theme;discipline_name;essay_text;teacher_baho_1
11;10. Консепсияи диалектикии инкишоф;Фалсафа;Фалсафа аз калимаи юнонӣ гирифта шуда маънои ҳикматдӯст, меҳру муҳаббат бо илму дониш. Асосгузори илми фалсафа Пифагор буда дар илм исбот кардааст. Фалсафа ин шакли шуури ҷамъияти таъминот дар бораи принсипҳои умумии ҳасти маърифат оиди муносибати олам ва муайян намудани кадр ва мавқею мақоми инсон дар олам мебошад.;6
12;10. Консепсияи диалектикии инкишоф;Фалсафа;Соҳаи иқтисодӣ - соҳаи бунёдии ҳаёти ҷамъият.Таърих ва фалсафаи таърих.Диалектикаи робитаи байниҳамдигарӣ.Соҳаҳои асосии ҳаёти ҷамъият.Ҳаёти сиёсии ҷамъият.Ҷамъият ҳамчун низоми худинкишофёбанда.Ҳаёти маънавии ҷамъият.Консепсияи диалектикии инкишоф;6
13;10. Консепсияи диалектикии инкишоф;Фалсафа;"Консепсияи диалектикии инкишоф ин барои инкишофи олами наботот, ҳайвонот ва олами ҳастӣ мебошад. Гуфтаи Муҳаммад Иқбол дар бораи инсон ""Аз тамоми офаридаҳои Худо фақат инсон қобил аст, ки дар фаъолияти бунёдкоронаи офариниш бошуурона ширкат варзад"". Зардуштиён ҷаҳонро бо оташ, об, замин муқаддас меҳисобиданд. Волтер дини зардуштиро сарчашмаи таълимоти фалсафии шуур ҳисобидааст. Гносеология илмро таълим медиҳад. Табақабанди ин чизҳои додашаванда хосияти истеҳсоли ""чизҳои диданашаванда""-ро дошта, ҳамчун рамзи онҳост. Раванди ҷаҳонишави ҳамкориро дар соҳаҳои фатҳи кайҳон, истифодаи атом, ҳифзи қабати озонии курраи заминро мефаҳмонад. Қонуни ягонагӣ ва муборизаи зидҳо самту тамоюли инкишоф, инчунин меросиятро меомӯзад. Мазмуни таълимоти асҳоби ҳаюлоро мактаби фалсафаест, ки азалият ва абадияти модда, макон ва замонро ба инобат мегирифт. Сарчашмаҳои марксизмро фалсафаи классикии немис, сотсиализми хаёлии франсуз иқтисоди сиёсии англис.";7
14;10. Консепсияи диалектикии инкишоф;Фалсафа;"Инкишоф ин пешравӣ яъне тараққӣ кардан ба ҳисоб меравад. Дар ин ҷо савол ба миён меояд ""консепсияи дифлектикии инкишоф"" гуфта чиро мефаҳмем? Мехостам оиди ҳамин савол каме фикри худро баён намоям. Аввало инкишоф кардани ҳар як ҷонзоди зинда ин чизе, ки ҳар рӯз дар ҳар гӯшаи замин ба воқеъ меравад. Аз ин мо мефаҳмем, ки ҳар як шахс ё ҷонзад тараққӣ мекунад.";2
15;10. Структура и система государственного управления государства Саманидов. Сохтор ва низоми идоракунии давлати Сомониён;Таърихи халқи тоҷик; Система Государтва управления Исмоили Сомони  Эмир делиться на Даргох (Придвор.Эм.) и Хочии Бузург (Девон)  Государства Саманидов это национальние государства.  Структура и система государства Саманидов на 10 девонов:  1.Первый Девон Девони Вазир это основной девон.  2.Второй Девон Девони Муставфи.  3.Третий девон Амид-Аль-Мулк.  4.Четвертый девон Девони Сохиб-уль-род.  5.Пятый девон Девони Сохиб-уб-барид.  Третий девон Амид-Аль-Мулк это отнощение Васхи.;5
16;10. Ташаккулёбии муносибатҳои феодалӣ дар Осиёи  Марказӣ. Шоҳаншоҳии Сосониён дар Эрон.;Таърихи халқи тоҷик; Илм ва адабиёти тоҷик дар давраи Сомониён рӯй ба тараққиёт монда буд. Дар давраи Сомониён илм ва фарҳанг хеле тараққӣ кард, барои он дар ин давра як давлати мутамарказ ба вуҷуд омад, ки он моҳ хеле илм ва адабиётро хеле дӯст медошт. Ин моҳ фаҳмид ҳамаи пешравӣ аз илму адабиёт мешавад. Дар ин давра ҳамаи одамон рӯй ба илму адабиёт гузошта буданд, ки бисёри одамони олим дар ҳамин давра калон шудаанд.;7
17;10. Ташаккулёбии муносибатҳои феодалӣ дар Осиёи  Марказӣ. Шоҳаншоҳии Сосониён дар Эрон.;Таърихи халқи тоҷик;  Таърих фаннест, ки гузаштагони Аҷдоди моро мефҳмонад.  Баъд аз барҳамхӯрдани давлати Сарбадорони Амир Ҳусайн Хони тамоми Мовароуннаҳр гардид ӯ баъд зулму ситам овард ӯ давлати Сарбадоронро бо ин гуна ҷазоҳо гирифтор кард.  Амир Ҳусайн қарор баровард, ки марду зан, духтарон, кӯдаконро, қир карда онҳоро ҷазоҳои хеле вазнин медод.  Вай ҳатто гуфта буд, ки онҳоро дар мобайни деворҳо монда дар болои онҳо оҳанҳои вазнин ва реш монда деворҳои баланд месохтанд. Чунин бераҳми Амир Ҳусайн дар таърих бо ҳарфи сиёҳ менависанд ӯ ҳатто ба кӯдакон раҳм надошт ӯ то он дараҷа бераҳм буд, ки ҳатто занҳои ҳомиладорро бераҳмона ба ҳалокат мерасонд.  Хулоса: Амир Ҳусайн давлати Сарбадоронро хеле азобҳои гуногун дода онҳоро ба як бераҳми бузург ба ҳалокат расонд.;4
18;10.Дини ислом дар Мовароуннаҳру Хуросон;Таърихи халқи тоҷик;Дини ислом дар Мовароуннаҳру Хуросон хеле тараққӣ карда буд. Пеш аз инро фаҳмонидан ман давлати Саффориëнро ба шумо мефаҳмонам. Он дар асри 9-10 оғоз ëфта Яъқуб ибни Лайс ва Амир ду бародарон буданд. Пеш аз давлатдорӣ онҳо касби саффрочӣ(мисгар) буданд, падари онҳо низ мисгар буд. Аз ҳамин сабаб давлатро Саффориëн мегӯянд.  Яъқуб хеле лашкаркаши бокувват буд, онҳо хеле давлатҳои зиëде забткарданд. Соли 879 Яъқуб ибни Лайс вафот мекунад ва ба тахт бародаиаш Амир мешинад. Амирхон мисли бародараш хеле лашкаркашӣ бокувват буд.;5
19;10.Дини ислом дар Мовароуннаҳру Хуросон;Таърихи халқи тоҷик;" Дини ислом дар Мовароуннаҳру Хуросон хеле пеш рафта буд. Дини ислом дар давраи Сосониён пайдо шудааст. Соли 632 Муҳаммад пайғамбар ба Макка ва Мадина сафар карда мардумро бо розигии худ ба дини ислом даъват мекунанд.  Мардум дини исломро қабул мекунанд. Китоби дини ислом ин китоби муқаддаси ""Қуръон"" мебошад. Маънои калимаи ""Қуръон"" аз калимаи арабӣ гифта шуда маънояш қироат кардан мебошад. Дар дини ислом 5 фарз мавҷуд аст: 1.Занот додан; 2.Рӯза доштан; 3.Таъфи Каъба; 4.Намоз хондан; 5.Садақаҳои ҷорӣ;";2
20;10.Дини ислом дар Мовароуннаҳру Хуросон;Таърихи халқи тоҷик; Арабҳо ва дар дини исломҳо ба шаҳри Мовароуннаҳру Хуросон рафта ва дар шаҳри Мовароуннаҳру Хуросон ғайри дини ислом буд. Арабҳо мардумони шаҳри Мовароуннаҳру Хуросонро дар дини ислом дароварданд ва онҳо пазируфтанд.  Баъд аз он арабҳо ва дар дини исломҳо ба минтақаҳои худ баргаштанд.;4
21;11. Равандҳои синергетикии воқеият.;Фалсафа;"Шаклҳои маданият ""моддӣ ва маънавӣ"" Намудҳои маданият. 1. Маҳаллӣ 2. Минтақавӣ 3. Миллӣ 4. Ҷаҳонӣ Маънои маданият киштукор кардан мебошад.";3
22;11. Равандҳои синергетикии воқеият.;Фалсафа;Равандҳои синергетикии воқеият.;5
23;11. Равандҳои синергетикии воқеият.;Фалсафа;Равандҳои синергетикии воқеият.;6
24;11.Муборизаи Сосониён, Ҳайтолиён ва Ҳоқонии турк дар Варазруд барои роҳи абрешим чӣбуд? гуна;Таърихи халқи тоҷик;Суғдиён аз он ҷумла ҷанговарони Сарлашкари далел ва ватандӯст Спитамен пайваста бар зидди истилогарони Юнонӣ-Македонӣ мубориза мебурданд. Баҳори соли 325 дастаҳои Спитамен ба Самарқанд ҳуҷум кард. Онро ишғол намуданд ва қасрро, ки ҷанговарони юнонӣ дар он истеҳком гирифта буданд, муҳосира намуданд. Искандар аз ин ҳодиса бохабар шуда ба таҳлуқа афтод ва дастаи ҷанговарони юнониро бо сардори Фарнун ба ёрии юнониҳо муҳосира монда фиристод.;6
25;11.Муборизаи Сосониён, Ҳайтолиён ва Ҳоқонии турк дар Варазруд барои роҳи абрешим чӣбуд? гуна;Таърихи халқи тоҷик; Давлати Сосониён аз вилояти Форс буда, худро вориси сулолаи Ҳахоманишиён муаррифӣ менамуданд.  Номи сулола аз давлати Сосониён аз номи Сосон, ки мӯбади оташкадаи Анахитои Истахр мансуб мешуд, бармеояд.  Ардашери яки Бобакон - набераи Сосон аз сустшавии иктидори ҳокимияти марказӣ истифода карда, артиши шоҳи Ашкониён барҳам дод.  Муборизаи Сосониён, Ҳайтолиён ва Ҳоқонии турк дар Варзруд барои роҳи абрешим хеле боҳашамат буд ва барои сарҳад муборизаҳои бардавом ва хунрезӣ мешуд, ки дар натиҷа яке аз онҳо сарҳади давлати худро васеъ менамуд.  ;8
26;12. Дастовардҳои даврони соҳибистиқлолии Ҷумҳурии Тоҷикистон;Сиёсатшиносӣ;"Мавқеи ҷуғрофии Тоҷикистон, ки ба ҷараёни рушди мамлакат нақми худро гузоштааст, аз бисёр ҷиҳат ба мустақилити он нобастагӣ дорад. Гуногуншаклии миллӣ ва фарҳанги дар нақши дурнамои таърихи аммқон буд. Маълум аст, ки ғайриклоесикӣ будани равонди таърихии мамлакати мо ва ба таърихи он хос будани ирратсонализаҳ дар он ҷой доштани ҳама гуна ""хаёлоти хом"" Тоҷикистонро даври ба давра аз система берун намуда. Чунин ба назар мерасонад, ки сабаби асосии давраи таърихи доимо баргзоштани таърих ба шаклҳои каонсироватиаи ва инкишоф суст дар Тоҷикистон, ин хеле пурзур будани решаҳои подароихи мебошад, ки сохторхои анъанави кӯхнаро аз нав ба вуҷуд меоварад. Свбвби дигараш мустақим ба дар зери тасири ҳамсоягон хамиёнии нисбатона пурқудрат аз онхо бовоситагии дошта аст .";3
27;12. Таносуби хусусиятҳои  биологӣ ва иҷтимоӣ дар инсон.;Фалсафа;Ҷамъият - маҷмӯи муносибатҳои моддиест, ки тамоми фаъолияти ҳаётии одамон дар доираи он ба вуҷуд меояд. Ҷамъият аз оила сар мешавад, оила ин ячейкаи хурди муносибатҳои зану мардро мефаҳмонад. Оилаи солим - Ҷамъияти солим.;3
28;12. Таносуби хусусиятҳои  биологӣ ва иҷтимоӣ дар инсон.;Фалсафа;Фанни фалсафа ё мафҳуми инро аввалин маротиба олими Юнони Қадим Пифагор шогирдони илмдӯсташро номидааст. Асоси пайдоиши фалсафа дар шарқ аст аммо пайдоиши онро аз юнон меноманд. Маънои луғавиаш муҳаббат ба ҳикмат мебошад.;3
29;12. Таносуби хусусиятҳои  биологӣ ва иҷтимоӣ дар инсон.;Фалсафа;Таносуби хусусиятҳои биологӣ дар инсон шинохт шадаст, асосан биологӣ инсон як чанд тағйирот даромад. Инсон дар биологӣ иҷтимоӣ хислати куллро дорад буда, ҳамчун дастурамали маърифат дар ҳамаи илмҳо мавриди истифода қарор доранд. Раванди инъикоси амали биологӣ ва иҷтимоӣ моддӣ ва қонуниятҳои он дар эҳсосу идрок, тасаввуроту мафҳумҳо мебошад. Усули дар робитаи кулл биологӣ инсон қарор доштани воқеият хоси кадом таълимот шакли иҷтимоӣ ва биологӣ интихоб ҷамъияти дохил мешавад. Хулоса мо аз ин хусусиятҳои биологӣ ва иҷтимоӣ дар инсон дар бар мегирад.;4
30;12. Таносуби хусусиятҳои  биологӣ ва иҷтимоӣ дар инсон.;Фалсафа;Таносуби хусусиятҳои биологӣ ва иҷтимоӣ дар инсон. Тобеъ кардани заминҳои бекорхобида ва қонеъ гардонидани талаботҳои сиёсию иҷтимоӣ иборат аст. Инкишофи фардии инсон самараи муштараки омилҳои объективӣ ва субъективӣ мебошад.;4
31;12. Таносуби хусусиятҳои  биологӣ ва иҷтимоӣ дар инсон.;Фалсафа;Равияҳои фалсафӣ динии Тасаввуф Таълимоти Ҷалолиддини Балхӣ ва Абдураҳмони Ҷомӣ ин олимон дар замони худ файласуфони бузург буд.;5
32;12. Таносуби хусусиятҳои  биологӣ ва иҷтимоӣ дар инсон.;Фалсафа;Бо масъалаи таносуби моҳият ва ҳастии одам, масъалаи дигар, масъалаи таносуби биологӣ ва иҷтимоии инсон алоқаманд мебошад. Аз ҷиҳати моҳият одам мавҷудоти иҷтимоист аз тарафи дигар, аз ҷиҳати мавҷудият бошад, ӯ зодаи табиат аст. Инсон аз моҳияти биологии мавҷудияти худ сарфи назар карда наметавонад, ӯ бе об, бе хӯрок, бе манзил ва ғайра вуҷуд доштанаш ғаёриимкон аст. Хусусиятҳои биологӣ дар мавҷудияти инсон дар ирсияташ дар протсесҳои физикологию электрохимикӣ ҷисмаш, фаъолияти асосию фикрии майнаш зоҳир мешавад. Ҷиҳатҳои биологӣ ва иҷтимоии ҳастии инсон алоқае дорад, тарафҳои онро ҷисми одам чун ҳастии биологии ӯ ва шахсияти инсон , чун ҳастии иҷтимоии ӯ ташкил медиҳанд. Аз ҷиҳати биологии табиати худ, аз аз падару модар мерос мегиранд фарқ менамояд. Ҳангоми таваллуд одам аз волидайнаш, ин ё он хусусияти биологиро, ки дар генаш ҷой дорад, мерос мегирад. Ин ирсият ба ҷисми инсон бе сифати рӯҳии ӯ таъсир мерасонад.;7
33;12.Давлати Сомониён дар замони ҳукумати насри 2;Таърихи халқи тоҷик;Насри 2 ибни Аҳмад солҳои 914-943 қариб 30 сол амири давлати Сомониëн буд. Дар айëми ҳукмронии ӯ вазири олим Абдулло Муҳаммад Ҷайҳонӣ идоракунии мулкро бар ӯҳда дошт.   Бо кушта шудани Аҳмад ба дарбори Сомониëн писари ӯ Насри 2-рр ба тахт шинонданд. Бо шунидани ин хабар Исҳоқ ибни Аҳмад, ки қаблан даст ба шӯриш зада буд, интихоби кӯдакеро ба амирии Хуросон ҳилофати ақлу тадбир шуморида. Дар Самарқанд исëн бардошт. Сипоҳи Насри 2 дар 2 набард Исҳоқро шикаст дода, ӯро дар банд кашид ва ба Бухоро овард, то дар он ҷо мурд.  Шӯриши дигаре, ки Насри 2 ва дарбори ва Сомониëнро музтариб кард. Солҳои 914-915 бо роҳбарии Ҳусайн ибни Алии Марврӯдӣ рух дод.;5
34;12.Давлати Сомониён дар замони ҳукумати насри 2;Таърихи халқи тоҷик;Вориси Исмоили Сомонӣ писар  Аҳмад ҳанӯз дар айёми падар ба баъзе баланди давлати машарраф гардид аммо ӯ зарур омад ки ошӯбу фитратҳои дохилии ӯ гардид. Барои ба даст овардан аз ҷумла амали ӯ Исҳоқ ибни Аҳмад,ки ҳокими лашкар барои ба даст овардани тахт муносиб амири Бухоро ба шӯриш зад ин шӯриш пахш гардид ба Исҳоқ ба дор андохта шуд Аҳмад ба даст овардани сиистон дар соли 908 ба ҳисоб мерафт. Ба ӯ чашми кам эътибор нисбат ба ӯ ба чашм назар андохт.;5
35;13. Борьба таджикского народа против монголов. Муборизаи мардуми тоҷик бар зидди муғулҳо;Таърихи халқи тоҷик; В сентябре 1219 года огромная армия Чингизхана была готова напасть на Средную Азию где самое крупное государство было государство Хорезмшахов. Его правитель Мохаммед Хоразмшах недооценивал Чингизхана и сам был недоверчевым. Армия Чингизхана одновременно начала нападение по путям направлениям. С 1219 по 1223 года монголы захватывали почтю всю Средную Азию. Города: Бухара, Самарканд, Ходжент, и Истаравшан. В этот период войска монголов также захватили часть территории Южной Руси. Монголы были очень сильной державой и завоевали пол мира.;4
36;13. Озодӣ дар низоми нерўҳои моҳиятии инсон;Фалсафа;Фалсафа фанни ҷамъиятӣ буда, омӯзиши пайдоиш ва инкишофи оламро меомӯзад. Фалсафа ин дар бораи умуми пайдоиш ва инкифоши табиат, ҷомеа, инсон ва таркшофи он мебошад. Функсияҳои фалсафа: 1. Методология 2. Аксиология 3. Констритвӣ 4. Ҷаҳонбинӣ;3
37;13. Озодӣ дар низоми нерўҳои моҳиятии инсон;Фалсафа;Фалсафа фанни ҷамъиятӣ буда, омӯзиши пайдоиш ва инкишофи оламро меомӯзад. Фалсафа ин дар бораи умуми пайдоиш ва инкифоши табиат, ҷомеа, инсон ва таркшофи он мебошад. Функсияҳои фалсафа: 1. Методология 2. Аксиология 3. Констритвӣ 4. Ҷаҳонбинӣ;7
38;13. Озодӣ дар низоми нерўҳои моҳиятии инсон;Фалсафа;"Соҳаи иқтисодӣ - соҳаи бунёдии ҳаёти ҷамъият.Таърих ва фалсафаи таърих.Диалектикаи робитаи байниҳамдигарӣ.Соҳаҳои асосии ҳаёти ҷамъият.Ҳаёти сиёсии ҷамъият.Ҷамъият ҳамчун низоми худинкишофёбанда.Ҳаёти маънавии ҷамъият.Консепсияи диалектикии инкишоф.Фалсафа чун ҷаҳонбинӣ; типҳои таърихии ҷаҳонбинии фалсафӣ";6
39;13. Озодӣ дар низоми нерўҳои моҳиятии инсон;Фалсафа;"Соҳаи иқтисодӣ - соҳаи бунёдии ҳаёти ҷамъият.Таърих ва фалсафаи таърих.Диалектикаи робитаи байниҳамдигарӣ.Соҳаҳои асосии ҳаёти ҷамъият.Ҳаёти сиёсии ҷамъият.Ҷамъият ҳамчун низоми худинкишофёбанда.Ҳаёти маънавии ҷамъият.Консепсияи диалектикии инкишоф.Фалсафа чун ҷаҳонбинӣ; типҳои таърихии ҷаҳонбинии фалсафӣ";3
40;13. Озодӣ дар низоми нерўҳои моҳиятии инсон;Фалсафа;Озодӣ дар низоми нерӯҳот моҳиятии инсон. Инсон меъёри хоми ашёҳост: оне ки мавҷуд аст ва оне ки мавҷуд нест. Инсонҳо ба ҳама корҳо қодиранд, мисол дар холи ҳозир ҳаргуна таҷҳизотҳову техникаи муосирро кашф намуда истодаанд.;4
41;13. Озодӣ дар низоми нерўҳои моҳиятии инсон;Фалсафа;Озодӣ дар низоми нерӯҳои моҳияти инсон. Ҳар як одам озод зиндагӣ кардан ба ҳуқуқаш хай. Аввал ғуломдорӣ пайташба одамон ғулом будагӣ одамонро мавқеашро аз чанто ғуломаш мӯл бошад. Аввал бойҳо ғуломҳоя гирифта кор фармондагӣ бе пул кор фармондагӣ. Ҳозир давр ба омада ғуломдорӣ нест. Ҳар як одамон ҳуқуқаш ҳимоя қонун ҳимоя мекунад. Ҳозир ҳар як одам хандад ба зиндагӣ кадом ба ҳуқуқаш ҳай.;3
42;13. Ҳуҷуми арабҳо ба Эрон, Хуросон ва Варорўд.;Таърихи халқи тоҷик; Ҳуҷуми арабҳо ба Эрон, Хуросон ва Варорӯд. Мақсади ин ҳуҷум аз ҳамун иборат буд, Эрон ва Хуросонро забт карда ва Варорӯдро тамоман нес кардан буд, агар ин ҳуҷум бо самаранок шуданаш барои арабҳо хеле мофоқилиятнок буд, ки онҳо хеле калон давлат ташкил мекарданд. Яъне замини ин давлатамон калон мешуд ва барои он, ки ба  эрону Хуросон ҳучум кард. Агар арабҳо ин давлатро забт мекард бояд мақсади он баъди забт намудани ин, давлат тамоми дунё буд. Аммо войхо натонистанд, ки тамоми дунёро забт кунанд.  Дар ин давир нафоқот Эрону Хуросон буд ғайр аз ин давлатҳо пурқудраттарин давлаҳо барпо гашта буданд даври худ хеле пурқудраттарин буд.;5
43;13. Ҳуҷуми арабҳо ба Эрон, Хуросон ва Варорўд.;Таърихи халқи тоҷик; Ҳуҷуми арабҳо ба Эрон, Хуросон ва Варорӯд охири соли 1918 ибтидои ҷанги шахрвандӣ дар Осиёи Миёна дар ҳудуди Туркистони Шӯравӣ омилҳои асосии оғози ҳаракати босмачигарӣ ғайриқаноатбахш бар роҳ монда шудани корҳои тарғиботи сиёсии ҳукумати шӯравӣ. Баста шудани масчидҳо, мадрасаҳо ва дигар муассисаҳои динӣ ва барҳам додани моликияти вақфӣ. Поймол гардидани урфу одат, расму милливу динии мусалмонон. Марҳилаи якум аз соли 1921 то соли 1923 ки дар ин авра босмачигарӣ хело вусъати калон дошт ва онро гуманистони давлатҳои хориҷӣ генерали Туркия Салимшо роҳбарӣ мекард. Марҳилаи дуюм аз охири соли 1923 то соли 1924 идома кард. 25-октябри соли 1924 инқилоби болшевикон ғалаба кард ва ҳокимият ба шӯроҳо гузашт. Ноябр дар Хуҷанд ба ороми ҳукумат ба шқроҳо гузашт.;4
44;13. Ҳуҷуми арабҳо ба Эрон, Хуросон ва Варорўд.;Таърихи халқи тоҷик; Фанни таърихи халқи тоҷик ин қади давраҳои қадиму, давраҳои ҳозираро асрҳои 19,20 мефаҳмем. Ин фанро ҳам дар мактаб ва низ дар донишгоҳҳо мехонанд. Ин фанн ба ҳамма намуди фанҳо алоқаманди зиёд дорад. Арабҳо ба давлати Эрон ба шаҳрҳои Хуросону Варорӯд ҳуҷум кардан. Ман бисёртар дар бораи Томириз медонем. Вақте ки модари Томиризм, Томиризмро таваллуд мекунад, аз дунё меравад яъне вафот мекунад. Падараш ба ӯ калон кардан ва дигар намуди ҷангҳоро меомӯзад. Томириз калон мешавад. Ногаҳон душманони падари Томиризм ба қабилаи онҳо ҳуҷум мекунанд ва падараш дар ҳамон ҷо вафот мекунад. Томириз дар охир танҳо мемонад ва қабила занҳо онро аз ҷангол мебандад ба қабилаи худ мебаранд, нигоҳу бин мекунанд. Томириз оҳиста оҳиста ҳамаи душманонашро мекушад, яъне ба қатл мерасонад ва дар охир қабилаи худро ба даст меорад.;7
